id	A	B	label
p0	t1,t9	t2,t3,t4,t5,t6,t7,t8,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	1
p1	t2,t10	t1,t3,t4,t5,t6,t7,t8,t9,OUT,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	1
p2	t11,t22	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t15,t16,t17,t18,t19,t21,t23,t24,t25,t26	1
p3	t13,t18	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t14,t15,t16,t17,t19,t21,t22,t23,t24,t25,t26	1
p4	t15,t17	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t16,t18,t19,t21,t22,t23,t24,t25,t26	1
p5	t16,t24	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t17,t18,t19,t21,t22,t23,t25,t26	1
p6	t19,t21	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t22,t23,t24,t25,t26	1
p7	t23,t25	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t24,t26	1
p8	t3,t6	t1,t2,t4,t5,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	1
p9	t7,t8	t1,t2,t3,t4,t5,t6,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	1
p10	t2,t4,t10	t1,t3,t5,t6,t7,t8,t9,OUT,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	1
p11	t11,t22,t26	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t15,t16,t17,t18,t19,t21,t23,t24,t25	1
p12	t1,t7,t8,t9	t2,t3,t4,t5,t6,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	1
p13	t16,t19,t21,t24	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t17,t18,t22,t23,t25,t26	1
p14	t2,t4,t10,t15,t17	t1,t3,t5,t6,t7,t8,t9,OUT,t11,t12,t13,t14,t16,t18,t19,t21,t22,t23,t24,t25,t26	1
p15	t11,t13,t18,t22,t26	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t14,t15,t16,t17,t19,t21,t23,t24,t25	1
p16	t14,t16,t19,t21,t24	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t15,t17,t18,t22,t23,t25,t26	1
p17	t2,t4,t10,t15,t17,t23,t25	t1,t3,t5,t6,t7,t8,t9,OUT,t11,t12,t13,t14,t16,t18,t19,t21,t22,t24,t26	1
p18	t1,t3,t5,t6,t7,t8,t9,t11,t12,t13,t14,t16,t18,t19,t21,t22,t24,t26	t2,t4,OUT,t10,t15,t17,t23,t25	1
n0	t11,t22,t25,t26	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t15,t16,t17,t18,t19,t21,t23,t24	0
n1	t16,t18,t24	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t17,t19,t21,t22,t23,t25,t26	0
n2	t2,t4,t10,t15,t17,t23	t1,t3,t5,t6,t7,t8,t9,OUT,t11,t12,t13,t14,t16,t18,t19,t21,t22,t24,t25,t26	0
n3	t2,t4,t10,t15,t17,t19,t23,t25	t1,t3,t5,t6,t7,t8,t9,OUT,t11,t12,t13,t14,t16,t18,t21,t22,t24,t26	0
n4	t1,t3,t5,t6,t7,t8,t9,t11,t12,t14,t16,t18,t19,t21,t22,t24,t26	t2,t4,OUT,t10,t13,t15,t17,t23,t25	0
n5	t1,t3,t5,t6,t7,t8,t9,t11,t12,t13,t14,t16,t17,t18,t19,t21,t22,t24,t26	t2,t4,OUT,t10,t15,t23,t25	0
n6	t1,t7,t8	t2,t3,t4,t5,t6,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	0
n7	t1,t9,t10	t2,t3,t4,t5,t6,t7,t8,OUT,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	0
n8	t7,t14,t16,t19,t21,t24	t1,t2,t3,t4,t5,t6,t8,t9,OUT,t10,t11,t12,t13,t15,t17,t18,t22,t23,t25,t26	0
n9	t1,t2,t10	t3,t4,t5,t6,t7,t8,t9,OUT,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	0
n10	t11,t13,t18,t26	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t14,t15,t16,t17,t19,t21,t22,t23,t24,t25	0
n11	t11,t13,t17,t18,t22,t26	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t14,t15,t16,t19,t21,t23,t24,t25	0
n12	t19,t21,t24	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t22,t23,t25,t26	0
n13	t1,t2,t4,t10	t3,t5,t6,t7,t8,t9,OUT,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	0
n14	t16,t21,t24	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t17,t18,t19,t22,t23,t25,t26	0
n15	t3,t16,t19,t21,t24	t1,t2,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t17,t18,t22,t23,t25,t26	0
n16	t4,t10,t15,t17	t1,t2,t3,t5,t6,t7,t8,t9,OUT,t11,t12,t13,t14,t16,t18,t19,t21,t22,t23,t24,t25,t26	0
n17	t2,t4,t7,t10,t15,t17	t1,t3,t5,t6,t8,t9,OUT,t11,t12,t13,t14,t16,t18,t19,t21,t22,t23,t24,t25,t26	0
n18	t1,t8,t9	t2,t3,t4,t5,t6,t7,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	0
n19	t1,t7,t8,t9,t21	t2,t3,t4,t5,t6,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t22,t23,t24,t25,t26	0
n20	t16,t23,t25	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t17,t18,t19,t21,t22,t24,t26	0
n21	t8,t13,t18	t1,t2,t3,t4,t5,t6,t7,t9,OUT,t10,t11,t12,t14,t15,t16,t17,t19,t21,t22,t23,t24,t25,t26	0
n22	t3,t6,t16	t1,t2,t4,t5,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t17,t18,t19,t21,t22,t23,t24,t25,t26	0
n23	t11,t22,t25	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t15,t16,t17,t18,t19,t21,t23,t24,t26	0
n24	t2,t15,t17	t1,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t16,t18,t19,t21,t22,t23,t24,t25,t26	0
n25	t14,t18	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t15,t16,t17,t19,t21,t22,t23,t24,t25,t26	0
n26	t1,t2,t4,t5,t6,t7,t8,t9,t10,t11,t12,t14,t15,t16,t17,t18,t19,t22,t23,t24,t25,t26	t3,OUT,t13,t21	0
n27	t1,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t21,t22,t23,t24,t25,t26	t2,OUT,t19	0
n28	t1,t6,t7,t8,t17,t18,t21	t2,t3,t4,t5,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t19,t22,t23,t24,t25,t26	0
n29	t1,t9,t12,t13,t15,t17,t18,t19,t24	t2,t3,t4,t5,t6,t7,t8,OUT,t10,t11,t14,t16,t21,t22,t23,t25,t26	0
n30	t2,t4,t5,t7,t9,t10,t12,t14,t16,t17,t18,t19,t25,t26	t1,t3,t6,t8,OUT,t11,t13,t15,t21,t22,t23,t24	0
n31	t1,t3,t4,t9,t11,t12,t13,t14,t15,t16,t18,t19,t21,t22,t25	t2,t5,t6,t7,t8,OUT,t10,t17,t23,t24,t26	0
n32	t1,t2,t3,t4,t5,t6,t9,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	t7,t8,OUT,t10,t11,t12	0
n33	t6,t9,t10,t15,t17,t25,t26	t1,t2,t3,t4,t5,t7,t8,OUT,t11,t12,t13,t14,t16,t18,t19,t21,t22,t23,t24	0
n34	t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t21,t22,t23,t24,t25,t26	OUT,t19	0
n35	t1,t6,t7,t8,t10,t11,t14,t15,t17,t18,t21,t22,t23,t24,t25,t26	t2,t3,t4,t5,t9,OUT,t12,t13,t16,t19	0
n36	t5,t10,t25	t1,t2,t3,t4,t6,t7,t8,t9,OUT,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t26	0
n37	t2,t3,t6,t10,t14,t22,t24,t25	t1,t4,t5,t7,t8,t9,OUT,t11,t12,t13,t15,t16,t17,t18,t19,t21,t23,t26	0
n38	t1,t2,t4,t5,t6,t7,t8,t9,t10,t11,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24	t3,OUT,t12,t13,t25,t26	0
n39	t1,t3,t4,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t21,t22,t23,t24,t25,t26	t2,t5,OUT	0
n40	t2,t3,t4,t5,t6,t8,t9,t16,t18,t21,t23,t25,t26	t1,t7,OUT,t10,t11,t12,t13,t14,t15,t17,t19,t22,t24	0
n41	t4,t9,t10,t11,t12,t17,t19,t21,t25,t26	t1,t2,t3,t5,t6,t7,t8,OUT,t13,t14,t15,t16,t18,t22,t23,t24	0
n42	t2,t4,t5,t11,t16,t18,t19,t21,t24	t1,t3,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t15,t17,t22,t23,t25,t26	0
n43	t2,t3,t4,t5,t6,t8,t10,t11,t13,t18,t19,t23,t24,t25,t26	t1,t7,t9,OUT,t12,t14,t15,t16,t17,t21,t22	0
n44	t1,t2,t3,t4,t7,t9,t10,t11,t12,t13,t15,t16,t17,t18,t19,t21,t22,t24,t25,t26	t5,t6,t8,OUT,t14,t23	0
n45	t4,t6,t8,t13,t14,t18,t23	t1,t2,t3,t5,t7,t9,OUT,t10,t11,t12,t15,t16,t17,t19,t21,t22,t24,t25,t26	0
n46	t1,t2,t4,t7,t9,t11,t16,t18,t22,t23,t24	t3,t5,t6,t8,OUT,t10,t12,t13,t14,t15,t17,t19,t21,t25,t26	0
n47	t3,t10,t11,t13,t15,t18,t21,t22,t24,t25,t26	t1,t2,t4,t5,t6,t7,t8,t9,OUT,t12,t14,t16,t17,t19,t23	0
n48	t2,t4,t5,t6,t7,t9,t12,t14,t15,t16,t17,t18,t21,t24,t25,t26	t1,t3,t8,OUT,t10,t11,t13,t19,t22,t23	0
n49	t3,t15,t22,t26	t1,t2,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t16,t17,t18,t19,t21,t23,t24,t25	0
n50	t1,t2,t4,t6,t8,t9,t10,t11,t12,t13,t15,t16,t17,t18,t19,t21,t22,t23,t25,t26	t3,t5,t7,OUT,t14,t24	0
n51	t1,t3,t9,t10,t13,t18,t19,t22,t25	t2,t4,t5,t6,t7,t8,OUT,t11,t12,t14,t15,t16,t17,t21,t23,t24,t26	0
n52	t3,t4,t5,t6,t11,t13,t14,t16,t17,t18,t19,t22,t26	t1,t2,t7,t8,t9,OUT,t10,t12,t15,t21,t23,t24,t25	0
n53	t2,t4,t5,t6,t7,t10,t13,t17,t19,t21,t24,t26	t1,t3,t8,t9,OUT,t11,t12,t14,t15,t16,t18,t22,t23,t25	0
n54	t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t16,t18,t19,t22,t23,t24,t25,t26	t1,OUT,t15,t17,t21	0
n55	t1,t6,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t21,t24,t25,t26	t2,t3,t4,t5,t7,t8,OUT,t19,t22,t23	0
n56	t5,t9,t13,t19,t23,t25	t1,t2,t3,t4,t6,t7,t8,OUT,t10,t11,t12,t14,t15,t16,t17,t18,t21,t22,t24,t26	0
